1001,Amandinha,Amanda,Ramos,teste@teste.com.br,100000,81999999999,0
1002,lucy,lucy,carter,lucycarter@teste.com,200000,11888888888,0
1003,lino,lino,smith,linosmith@teste.com,300000,11997567742,0
1004,valen,valen,vieira,valenvieira@teste.com,400000,11999999999,0
1005,lia,lia,bonita,liabonita@teste.com.br,500000,8799999999,0
1006,osvaldo,osvaldo,vieira,osvaldovieira@teste.com,600000,81999997777,0
1007,drica,drica,morais,dricamorais@teste.com.br,700000,89777775000,0
1008,caio,caio,castro,caiocastro@teste.com.br,800000,9099999999,0
1009,paula,paula,moraes,paulamoraes@teste.com.br,900000,81999990000,0
1010,manu,manu,gavassi,manugavassi@teste.com.br,1000000,81999999999,0
